964	602	71	192	256	165	35	104	140	588	354	400	881	245	281	976	285	198	267	270
986	666	150	170	200	921	765	136	182	404	262	891	520	190	832	733	892	406	802	511
517	871	30	670	336	875	139	411	40	939	625	773	493	147	587	273	606	898	849	304
792	337	135	386	230	617	927	40	786	490	588	165	664	907	217	437	312	188	821	815
767	465	349	982	993	101	634	883	480	692	359	196	82	895	928	741	618	624	954	945
193	517	323	507	335	637	824	946	515	829	894	529	996	47	338	840	647	938	413	664
582	745	491	428	343	425	970	872	184	559	418	610	943	203	977	467	115	16	596	172
97	944	315	672	838	962	473	523	314	662	680	641	207	549	366	728	845	998	100	859
244	202	689	273	549	351	766	38	440	333	690	115	12	80	970	710	434	48	652	78
953	636	952	152	616	580	890	620	345	662	797	994	616	123	917	984	41	150	334	800
322	542	162	812	82	989	421	189	698	671	97	494	41	299	839	553	893	350	72	649
380	342	930	207	166	652	211	652	850	190	144	112	137	315	937	492	347	941	324	989
424	752	175	762	600	451	663	93	972	686	223	12	364	703	265	478	935	284	623	104
219	72	628	621	674	462	466	507	625	314	974	624	962	240	944	744	195	59	915	763
60	213	497	844	323	349	239	843	764	890	487	342	765	742	700	777	612	335	155	556
279	421	98	171	109	804	577	695	840	335	991	782	542	407	35	805	536	194	507	582
80	328	153	58	321	183	802	672	644	900	944	576	208	263	153	106	912	343	95	734
744	673	827	322	23	80	600	933	643	674	823	503	976	581	466	268	117	680	490	196
722	437	713	915	756	987	782	711	210	117	294	856	199	341	660	222	274	796	71	733
495	268	317	781	524	402	235	800	278	903	72	249	732	893	142	234	147	193	408	301
906	563	503	210	548	625	245	894	57	923	229	999	758	330	221	137	573	745	818	589
483	862	327	468	192	639	643	29	99	292	620	626	261	568	456	259	236	97	621	848
944	35	134	730	710	615	878	407	637	45	766	505	86	412	567	58	471	318	743	535
56	466	1000	530	103	653	337	12	611	533	776	610	534	642	479	800	554	76	214	859
131	670	283	68	309	927	509	88	317	252	397	409	506	120	282	670	628	222	793	938
312	874	359	812	993	311	900	951	66	676	995	353	688	49	61	738	9	799	291	615
629	694	334	523	22	593	106	833	1000	794	330	445	82	868	306	73	316	616	889	391
394	836	90	903	333	356	585	811	874	531	876	326	599	116	993	340	669	267	319	63
135	505	891	189	789	68	758	324	492	965	906	222	392	464	944	397	269	990	398	777
260	7	458	263	809	803	654	702	721	316	599	662	793	924	927	832	561	354	113	26
640	488	811	215	648	828	767	579	24	132	843	410	905	813	12	322	428	495	241	948
395	278	513	36	341	930	872	758	414	848	751	227	200	319	241	457	557	734	307	638
311	156	479	240	890	397	451	918	439	595	926	227	424	734	753	112	852	744	440	563
790	103	876	76	617	434	288	527	309	808	470	558	531	385	314	190	254	315	892	319
455	615	214	93	109	468	969	537	169	760	388	855	81	969	475	1	672	829	99	518
528	1000	316	238	880	148	469	958	141	171	760	95	146	144	288	82	192	338	890	470
335	876	525	487	625	573	910	207	8	687	614	388	383	125	717	727	76	236	132	331
976	258	137	913	102	971	748	701	687	926	851	998	446	741	342	923	14	517	774	962
146	607	957	364	928	385	668	566	379	93	636	410	482	562	566	450	240	228	835	491
446	843	174	932	217	807	377	814	496	428	648	832	560	198	574	846	657	603	337	99
735	703	58	229	408	976	605	382	824	920	670	41	385	464	187	745	193	355	72	119
719	527	99	875	862	280	182	619	138	891	697	571	307	431	182	453	445	955	374	724
761	806	812	704	271	487	951	405	122	56	765	193	11	194	68	419	268	45	47	953
641	444	567	784	149	223	892	821	72	918	102	127	948	225	89	201	385	802	820	968
361	273	688	148	762	99	86	197	284	673	643	464	828	349	775	657	918	553	785	625
836	127	606	440	939	293	841	1000	970	664	248	698	437	913	667	789	305	110	679	771
